I
1130 Generated by WorldEditor 2.2.0r2

1    499 0 0 LFBO Toulouse Blagnac
1302 city TOULOUSE
1302 country France
1302 datum_lat 43.635127778
1302 datum_lon 1.367855556
1302 faa_code 
1302 gui_label 3D
1302 iata_code TLS
1302 icao_code LFBO
1302 region_code LF
1302 state Midi-Pyrénées
1302 transition_alt 5000
1302 transition_level 
100 44.00 1 0 0.25 1 3 0 14R  43.64410930  001.34593871    0    0 3 2 1 0 32L  43.61896832  001.37210883    0    0 3 0 0 1
100 45.00 1 0 0.25 1 2 0 14L  43.63735758  001.35762982    0    0 3 4 0 0 32R  43.61562194  001.38024950    0    0 3 0 0 1
102 H14  43.61764267  001.38413473 141.23 24.50 24.40 15 0 0 0.25 1
102 H32  43.61553697  001.38641210 321.65 24.90 25.00 15 0 0 0.25 1
110 2 0.00 0.0000 New Taxiway 2
112  43.61643080  001.35472718  43.61636621  001.35501602
111  43.61643080  001.35472718
111  43.61661797  001.35481415
112  43.61661797  001.35481415  43.61667040  001.35451309
111  43.61680235  001.35434948
113  43.61661486  001.35421045
110 2 0.00 85.0000 New Taxiway 3
111  43.65347350  001.35678708
111  43.65342388  001.35616627
111  43.65319901  001.35619603
111  43.65317196  001.35580867
111  43.65278398  001.35585986
111  43.65280730  001.35626339
111  43.65234280  001.35632376
111  43.65231795  001.35592204
111  43.65192238  001.35597010
111  43.65195058  001.35636810
111  43.65149035  001.35642913
111  43.65146561  001.35603637
111  43.65106481  001.35608818
111  43.65109147  001.35648543
111  43.65063502  001.35654360
111  43.65061490  001.35617386
111  43.65021284  001.35622685
111  43.65023632  001.35660455
111  43.64977933  001.35667101
111  43.64975184  001.35629278
111  43.64935893  001.35634124
111  43.64937910  001.35672983
111  43.64889976  001.35679491
111  43.64887117  001.35638357
111  43.64846983  001.35643823
111  43.64850339  001.35683165
111  43.64829624  001.35686203
111  43.64834832  001.35747455
111  43.64848568  001.35746420
111  43.64857438  001.35763837
111  43.64898726  001.35758464
111  43.64906204  001.35737850
111  43.64933727  001.35734203
111  43.64943288  001.35752241
111  43.64984201  001.35746908
111  43.64991548  001.35726087
111  43.65019487  001.35722926
111  43.65029431  001.35740862
111  43.65069203  001.35736144
111  43.65077177  001.35714741
111  43.65104716  001.35710499
